Identifiant;Statut;Motif du refus;Domaine;Activité;Commune;Rue;Type d'ouvrage;Code ouvrage;Num. DI;Ordre de travail;Programme;Créé le;Entreprise;Date Intervention;Intervenant;Observation;Durée Intervention;obs_clean;remplacement_fusible;remplacement_ampoule;remplacement_driver;remplacement_boite_derivation;remplacement_driver_et_connexions;pose_lanterne_provisoire;separation_phases_cablage;plateau_led_hs;reenclenchement_disjoncteur;reprise_raccordement;refection_connexions;resume_ia
44909237;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE DES ROSES;Luminaire;K187_1;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909235;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE DES ROSES;Luminaire;K186_1;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909233;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE DES VIOLETTES;Luminaire;K180_1;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909231;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE CHANOINE KERBRAT;Luminaire;K535_2;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909229;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE LEON JOUHAUX;Luminaire;K534_2;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909227;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE CLAUDE BERNARD;Luminaire;K241_1;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909225;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE CLAUDE BERNARD;Luminaire;K239_1;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909223;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE CLAUDE BERNARD;Luminaire;K240_1;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909221;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE DE LEURGUERIC;Luminaire;K610_1;;477.0;;15/11/2025;CITEOS QUIMPER;2025-11-15;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909219;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;RUE JOSEPH LOTH;Luminaire;K2135;;477.0;;14/11/2025;CITEOS QUIMPER;2025-11-14;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909217;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;LA VOIE ROMAINE;Luminaire;K1122_1;;477.0;;14/11/2025;CITEOS QUIMPER;2025-11-14;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
44909215;Validé;;Eclairage public;Tournée de nuit luminaire;QUIMPER;LA VOIE ROMAINE;Luminaire;K1121_1;;477.0;;14/11/2025;CITEOS QUIMPER;2025-11-14;;;;;non;non;non;non;non;non;non;non;non;non;non;aucune opération détectée
